contract_decimals,contract_name,contract_ticker_symbol,contract_address,supports_erc,logo_url,quote_rate,rank
18,"UNIFI","UNIFI","0x0ef3b2024ae079e6dbc2b37435ce30d2731f0101",,"https://logos.covalenthq.com/tokens/0x0ef3b2024ae079e6dbc2b37435ce30d2731f0101.png","0.005021253",10000
18,"Based Loans Ownership","BLO","0x68481f2c02be3786987ac2bc3327171c5d05f9bd",,"https://logos.covalenthq.com/tokens/0x68481f2c02be3786987ac2bc3327171c5d05f9bd.png","0.17687157",10000
18,"fyeth.finance","yETH","0xd387f0e62e3f123a54ae486056a5d859affed0c8",,"https://logos.covalenthq.com/tokens/0xd387f0e62e3f123a54ae486056a5d859affed0c8.png","3.3071423",10000
18,"APE Punk","APE$","0x26ea1f595f6567b7050fbba24f6a66e19db4d560",,"https://logos.covalenthq.com/tokens/0x26ea1f595f6567b7050fbba24f6a66e19db4d560.png","136.87485",10000
18,"CosplayToken","COT","0xed64142f7d0a4d94ce0e7fe45d12f712fe360bd0",,"https://logos.covalenthq.com/tokens/0xed64142f7d0a4d94ce0e7fe45d12f712fe360bd0.png","0.020702282",10000
18,"Shill","PoSH","0x685aea4f02e39e5a5bb7f7117e88db1151f38364",,"https://logos.covalenthq.com/tokens/0x685aea4f02e39e5a5bb7f7117e88db1151f38364.png","0.000102878315",10000
18,"Synth sCRV","sCRV","0xd38aeb759891882e78e957c80656572503d8c1b1",,"https://logos.covalenthq.com/tokens/0xd38aeb759891882e78e957c80656572503d8c1b1.png","3.2003071",10000
18,"CEDARS","CEDS","0xf256f3ac4176126f55af7c6e25fa5f3cdf518b38",,"https://logos.covalenthq.com/tokens/0xf256f3ac4176126f55af7c6e25fa5f3cdf518b38.png","0.3094263",10000
18,"yTSLA Finance","yTSLA","0x5322a3556f979ce2180b30e689a9436fddcb1021",,"https://logos.covalenthq.com/tokens/0x5322a3556f979ce2180b30e689a9436fddcb1021.png","5.963381",10000
8,"ALADIN","ALA","0x564f45b6bb68aded8b660a0d8a0a948dd6d6e4e8",,"https://logos.covalenthq.com/tokens/0x564f45b6bb68aded8b660a0d8a0a948dd6d6e4e8.png","0.35176468",10000
18,"ACD","ACD","0xe45fc4290fd3159588f532058592ea327d2e97d4",,"https://logos.covalenthq.com/tokens/0xe45fc4290fd3159588f532058592ea327d2e97d4.png","0.0949646",10000
18,"Lady Luck","LUCK","0x0955a73d014f0693ac7b53cfe77706dab02b3ef9",,"https://logos.covalenthq.com/tokens/0x0955a73d014f0693ac7b53cfe77706dab02b3ef9.png",0,10000
18,"Perlin","PERL","0xeca82185adce47f39c684352b0439f030f860318",,"https://logos.covalenthq.com/tokens/0xeca82185adce47f39c684352b0439f030f860318.png","0.07399325",10000
18,"Aave Interest bearing MANA","aMANA","0x6fce4a401b6b80ace52baaefe4421bd188e76f6f",,"https://logos.covalenthq.com/tokens/0x6fce4a401b6b80ace52baaefe4421bd188e76f6f.png","0.8867319",10000
18,"yfi.mobi","YFIM","0x2e2f3246b6c65ccc4239c9ee556ec143a7e5de2c",,"https://logos.covalenthq.com/tokens/0x2e2f3246b6c65ccc4239c9ee556ec143a7e5de2c.png","26.018322",10000
18,"OAS Chain","OAS","0x877f2558cdfe1953606ac8c13ba262007ffd8f1e",,"https://logos.covalenthq.com/tokens/0x877f2558cdfe1953606ac8c13ba262007ffd8f1e.png","0.00069640705",10000
18,"xETH-G","xETH-G","0x3863ea7577fc91bfbaeae6a6a3e403524afcf787",,"https://logos.covalenthq.com/tokens/0x3863ea7577fc91bfbaeae6a6a3e403524afcf787.png","0.14600807",10000
18,"STK Coin","STK","0x5c5887e55bbe41472acdba5fae989788c6f7ab59",,"https://logos.covalenthq.com/tokens/0x5c5887e55bbe41472acdba5fae989788c6f7ab59.png","0.02374115",10000
18,"EmploymentCoin","EC2","0x3ff426ca07a9f589a80f18cccc759e84cf06f0eb",,"https://logos.covalenthq.com/tokens/0x3ff426ca07a9f589a80f18cccc759e84cf06f0eb.png","0.66000396",10000
18,"Plethori","PLE","0xaeeaa9c0ecd8d50ab7fcd159bddad0f52ce360c2",,"https://logos.covalenthq.com/tokens/0xaeeaa9c0ecd8d50ab7fcd159bddad0f52ce360c2.png","0.119892806",10000
18,"ETH AI Limit Loss","ELL","0x7e4d1cd8927ce41bcbfa4f32cada1a6998cb5a51",,"https://logos.covalenthq.com/tokens/0x7e4d1cd8927ce41bcbfa4f32cada1a6998cb5a51.png","457.70642",10000
18,"YOKcoin","YOK","0x05fcc72cfb4150abae415c885f7a433ff523296f",,"https://logos.covalenthq.com/tokens/0x05fcc72cfb4150abae415c885f7a433ff523296f.png","0.110792026",10000
18,"ZEON","ZEON","0xe5b826ca2ca02f09c1725e9bd98d9a8874c30532",,"https://logos.covalenthq.com/tokens/0xe5b826ca2ca02f09c1725e9bd98d9a8874c30532.png","0.0005974856",10000
18,"WhaleCoin","WHALE","0x804e26c4eff0bb196b805bdfb5b29ab828cf0b1f",,"https://logos.covalenthq.com/tokens/0x804e26c4eff0bb196b805bdfb5b29ab828cf0b1f.png","0.000102878315",10000
